timestamp,thumb,index,middle,ring,pinky,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16
45233,1.0,1.0,1.0,1.0,1.0,-21.063221,-14.17947,-0.49523664,4.2724485,57.589474,-5.9749827,-26.711712,31.269337,15.830651,5.831609,0.39029115,-0.29384425,0.44593918,0.3210531,0.3805194,0.39872682
45241,1.0,1.0,1.0,1.0,1.0,-8.308619,69.58738,1.0303516,-4.2434416,-30.036768,8.772364,31.481667,-4.038188,-3.957323,-19.710888,0.64870167,-0.6595184,0.68577987,0.6409894,0.67777836,0.680399
45249,1.0,1.0,1.0,1.0,1.0,73.91527,37.45846,-2.818153,-5.0713515,-40.126656,18.838646,68.240204,-26.063387,-13.708285,-10.151124,1.0059934,-1.0576559,0.9569064,1.0077906,0.98108447,0.9903196
45257,1.0,1.0,1.0,1.0,1.0,46.15219,-71.19787,-5.0678334,9.933353,-7.2813144,5.5411177,-27.481678,4.678474,1.2758452,15.406331,-0.14318624,0.067480616,-0.12127044,-0.12918636,-0.16179715,-0.14964478
45265,1.0,1.0,1.0,1.0,1.0,-50.284805,-37.7284,2.0833564,5.5429907,24.785763,-0.8095683,-99.950066,18.779213,7.279848,1.9100342,-0.7588203,0.76504606,-0.70601755,-0.72076535,-0.77642363,-0.7342198
45273,1.0,1.0,1.0,1.0,1.0,-12.646717,-11.428733,4.3422184,2.3361416,55.578102,-15.371578,16.802145,3.312439,12.11662,-0.10571854,0.5631772,-0.44167176,0.49920073,0.5863917,0.5036051,0.51970947
45281,1.0,1.0,1.0,1.0,1.0,-7.8635435,-23.108744,4.0683517,-20.795383,-21.79817,-26.911015,61.152775,-28.469944,6.794726,12.995684,0.12584198,-0.09363315,0.10354122,0.16414495,0.15232192,0.13728559
45289,1.0,0.6789479,1.0,1.0,1.0,-93.45841,11.681758,3.59963,-28.950178,-50.225517,-22.223198,-11.401616,-21.22108,-2.5993576,18.433508,-1.3120502,1.1826056,-1.2037089,-1.2426353,-1.1530992,-1.1626517
45297,1.0,0.48966095,1.0,1.0,1.0,-89.21277,31.093735,-7.553913,30.04263,44.63335,-2.8397834,4.044763,49.62868,-0.31651002,9.114199,-1.4719563,1.267606,-1.4194272,-1.4461472,-1.3312562,-1.3882806
45305,1.0,0.12603413,1.0,1.0,1.0,120.04241,89.13758,-4.5351024,23.160511,-21.295002,44.56833,32.276108,-10.379519,-22.847343,-50.21888,-0.8209431,0.65305436,-0.80889034,-0.80701834,-0.8101749,-0.8002022
45313,1.0,0.0,1.0,1.0,1.0,224.65613,57.951553,7.041621,-26.048428,-72.54427,47.787285,23.69267,-69.57008,-20.927446,-43.484753,0.97257507,-1.0433325,1.0044527,1.0190792,0.9131021,1.0202595
45321,1.0,0.0,1.0,1.0,1.0,-57.552364,-124.09766,-1.4662036,4.5903134,84.909454,-25.103966,-74.19038,61.470745,23.348328,56.575336,1.8966689,-1.8474348,1.861992,1.897275,1.8653984,1.836705
45329,1.0,0.0,0.9655204,1.0,1.0,-235.52263,-63.827923,-4.7717366,9.643924,47.85357,-46.96079,-75.00258,55.394238,17.033365,32.26902,0.006020207,0.22725382,-0.06431572,-0.09460027,-0.09100173,-0.13560511
45337,1.0,0.0,0.43501377,1.0,1.0,-12.465891,44.3209,0.5921671,5.1160116,-31.588865,0.16265056,57.831768,-20.177036,-2.3750656,-11.374474,0.6794472,-0.45863545,0.6109533,0.5935469,0.59375393,0.5744092
